sample,UMAP1,UMAP2,cancer_type,immune_hallmark_mean,sustained_hallmark_mean,key_gene_expression
TCGA-44-A4SS-01A-11R-A24X-07,12.163861,-5.7388334,LUAD,5.347893523734779,4.622057633859211,3.745972648732261
TCGA-97-8172-01A-11R-2287-07,12.900459,-5.3997893,LUAD,5.305794783517765,4.734970868292788,4.430563866602474
TCGA-49-6744-01A-11R-1858-07,12.750802,-5.1997843,LUAD,5.074735559189186,4.557676560094041,4.5533272534732
TCGA-4B-A93V-01A-11R-A39D-07,12.363645,-2.930562,LUAD,4.469407514839008,3.8685876715029117,2.6995371806949837
TCGA-44-2661-01A-01R-1107-07,13.41308,-2.5794966,LUAD,4.443707781379094,4.082952647827761,4.22189193165375
TCGA-05-4396-01A-21R-1858-07,12.937255,-6.0076804,LUAD,5.087782891111938,4.236717731879612,4.729214765781766
TCGA-91-A4BD-01A-11R-A24H-07,13.098425,-2.343473,LUAD,3.8733160603550973,3.549098072184353,2.5875071200420723
TCGA-55-6975-01A-11R-1949-07,11.679915,-4.7258205,LUAD,5.046095174936601,4.451709734748675,4.40269845788778
TCGA-49-6761-01A-31R-1949-07,13.259815,-4.112047,LUAD,5.07444779270247,4.280117821769045,7.143699859741158
TCGA-MP-A4TF-01A-11R-A262-07,11.752243,-4.895221,LUAD,5.50250469767354,4.408926333578533,6.791381987514432
TCGA-44-2656-01B-06R-A277-07,13.68406,-6.0115547,LUAD,6.031915427775715,4.6128455994461985,7.64599515599159
TCGA-44-3918-01A-01R-A278-07,13.725713,-5.8791,LUAD,5.409828138835764,4.2674850456322515,5.320872557841143
TCGA-55-A57B-01A-12R-A39D-07,12.503771,-5.1139326,LUAD,5.426843003112061,4.68965677879118,7.309756156230076
TCGA-62-A46Y-01A-11R-A24H-07,13.422978,-3.7377007,LUAD,4.9537750151719315,4.216573270010193,4.69655683250783
TCGA-49-AAR2-01A-11R-A39D-07,12.45557,-2.6506882,LUAD,4.008978999816193,3.6571371726211748,0.5689336379221327
TCGA-05-5423-01A-01R-1628-07,13.2175045,-2.3774102,LUAD,4.289402951270536,3.830357455635936,4.372051522008014
TCGA-91-A4BC-01A-11R-A24H-07,11.560799,-3.5522854,LUAD,4.682644616543215,4.37030720826968,2.6665423745265677
TCGA-86-8056-01A-11R-2241-07,12.744484,-5.5101476,LUAD,5.470564803099624,4.631168024048137,5.145731468853868
TCGA-49-6745-01A-11R-1858-07,12.166425,-5.4959164,LUAD,5.605737996154898,4.591801750685031,5.402716563874167
TCGA-55-8096-01A-11R-2241-07,13.445155,-4.6581864,LUAD,4.979103708628623,4.462498388314425,7.135897640796641
TCGA-44-6774-01A-21R-1858-07,11.862458,-5.138791,LUAD,5.220236808148812,4.623981892585036,4.25673087470832
TCGA-05-4402-01A-01R-1206-07,12.347191,-4.309683,LUAD,5.044568943735488,4.391183758965197,6.353374165380549
TCGA-69-7761-01A-11R-2170-07,12.348332,-5.9757404,LUAD,5.659494742708599,4.827964186356719,4.101244462430789
TCGA-EM-A2P2-01A-11R-A206-07,2.7695932,5.0604267,THCA,4.997651899432931,4.088417538759585,3.403787236798023
TCGA-EM-A2P3-01A-11R-A206-07,2.054739,2.3792298,THCA,5.008175411952006,4.3847728413984255,4.906056210482503
TCGA-ET-A3DT-01A-11R-A19O-07,2.4451132,1.579253,THCA,5.278016737907037,4.646998463461885,5.309883640100742
TCGA-BJ-A4O9-01A-11R-A250-07,1.7675381,3.8607752,THCA,4.8875663410047245,4.004777709250936,4.409429152503402
TCGA-EM-A2CK-01A-11R-A180-07,2.9842486,5.1294045,THCA,4.7240903330592525,3.9801207197737254,3.066230835091945
TCGA-J8-A3YE-01A-12R-A23N-07,1.8568305,3.9705164,THCA,4.8861580249759475,3.9598727328985475,5.4618045630319845
TCGA-ET-A3DO-01A-11R-A19O-07,3.1374576,2.0294456,THCA,4.925590596454429,4.397404462120572,4.280026292000076
TCGA-BJ-A190-01A-11R-A13Y-07,2.4446936,5.6440196,THCA,4.99563605056636,3.9426675318436586,2.778901586972713
TCGA-BJ-A0ZF-01A-11R-A10U-07,3.099574,4.707757,THCA,4.477021689461974,3.9224542811040686,3.7665033579073866
TCGA-DE-A4MB-01A-11R-A250-07,2.830853,2.703821,THCA,4.902063201790208,4.418869207081233,4.072122495749925
TCGA-H2-A26U-01A-11R-A16R-07,2.2754068,1.3931259,THCA,5.0716108733133565,4.559160320512257,4.783722537650507
